workspace,slug,name,language,project,is_active,updated_on,created_on,has_pipeline,open_prs,merged_30d
syscolabs,olr,olr,javascript,Platform POCS,True,2026-02-20T18:48:00.551602+00:00,2018-10-26T09:11:20.929025+00:00,,,
syscolabs,olr_listener,olr_listener,java,Platform POCS,False,2020-03-17T06:24:42.158566+00:00,2018-10-30T06:17:02.437291+00:00,,,
syscolabs,ua-reports-aggregate-definitions,ua-reports-aggregate-definitions,unknown,ReportsNG,True,2026-02-17T13:23:07.867472+00:00,2018-10-30T11:36:17.116344+00:00,,,
syscolabs,tool-payroll-data-pumper,tool-payroll-data-pumper,javascript,Catalysts,False,2020-05-04T06:32:52.661407+00:00,2018-10-31T05:06:54.604471+00:00,,,
syscolabs,spring-mvc-sample,spring-mvc-sample,unknown,Payment Gateway,False,2018-11-08T14:03:23.701383+00:00,2018-11-05T07:56:23.215070+00:00,,,
syscolabs,reportsng-rng,reportsng-rng,unknown,Environment Configs Archive,False,2024-04-12T11:02:05.084706+00:00,2018-11-06T11:09:48.496490+00:00,,,
syscolabs,reportsng-payment,reportsng-payment,unknown,Environment Configs Archive,False,2024-04-12T11:01:57.773810+00:00,2018-11-06T11:12:27.516364+00:00,,,
syscolabs,reportsng-pos,reportsng-pos,unknown,Environment Configs Archive,False,2024-04-12T11:02:01.836388+00:00,2018-11-06T11:13:11.260534+00:00,,,
syscolabs,reportsng-intel,reportsng-intel,unknown,Environment Configs Archive,False,2024-04-12T11:01:54.019031+00:00,2018-11-06T11:14:13.749878+00:00,,,
syscolabs,reportsng-crm-config,reportsng-crm-config,unknown,Environment Configs Archive,False,2024-04-12T11:01:50.289397+00:00,2018-11-06T11:16:12.658280+00:00,,,
syscolabs,src-data-platform-query-api,src-data-platform-query-api,unknown,Data & Analytics,True,2026-02-04T21:42:01.051245+00:00,2018-11-07T03:50:39.520987+00:00,,,
syscolabs,testcs,testcs,unknown,Cloud Services,False,2018-11-17T16:51:53.373740+00:00,2018-11-07T06:41:40.599206+00:00,,,
syscolabs,src-doc-gen-api,src-doc-gen-api,unknown,ReportsNG,True,2026-02-19T20:17:49.866891+00:00,2018-11-08T07:13:24.364770+00:00,,,
syscolabs,petl,PETL,unknown,Payment Gateway,True,2026-03-31T12:00:16.871796+00:00,2018-11-09T06:16:26.941328+00:00,,,
syscolabs,cake_ua_reports,cake_ua_reports,unknown,QA,False,2025-07-22T09:36:04.511433+00:00,2018-11-10T15:13:22.691047+00:00,,,
syscolabs,idempotence_lib,Idempotence_lib,java,Platform,False,2020-04-27T07:45:16.762704+00:00,2018-11-13T11:34:57.993485+00:00,,,
syscolabs,menu_core_api,menu_core_api,unknown,QA,False,2024-03-05T04:44:53.915684+00:00,2018-11-15T04:03:20.822733+00:00,,,
syscolabs,ua-reports-payments,ua-reports-payments,unknown,Payment Gateway,True,2026-03-26T18:44:43.427370+00:00,2018-11-16T05:13:30.681813+00:00,,,
syscolabs,ua_reports_api,ua_reports_api,java,Platform,True,2026-03-06T10:05:51.946425+00:00,2018-11-16T13:11:35.554862+00:00,,,
syscolabs,test34f,test34f,unknown,Cloud Services,False,2018-11-17T16:31:23.745559+00:00,2018-11-17T16:31:23.679540+00:00,,,
syscolabs,tft_monitoring,tft_monitoring,unknown,Cloud Services,False,2018-12-06T07:25:09.371423+00:00,2018-11-27T06:25:46.979719+00:00,,,
syscolabs,src-data-platform-integration-api,src-data-platform-integration-api,unknown,Data & Analytics,True,2026-02-11T19:41:07.193949+00:00,2018-11-27T06:42:47.809098+00:00,,,
syscolabs,ua-reports-api,ua-reports-api,unknown,Environment Configs,False,2025-09-12T13:07:08.920220+00:00,2018-12-04T09:14:06.215119+00:00,,,
syscolabs,tool-push-shifts-to-sqs,tool-push-shifts-to-sqs,unknown,Catalysts,False,2020-05-06T05:28:27.869439+00:00,2018-12-07T09:29:02.974794+00:00,,,
syscolabs,payroll-data-pumper,payroll-data-pumper,unknown,Catalysts,False,2018-12-14T10:53:21.198089+00:00,2018-12-14T10:47:30.264610+00:00,,,
syscolabs,sysco_leapset_v3,sysco_leapset_v3,unknown,QA - LAPITAF,False,2020-05-06T02:43:21.840368+00:00,2018-12-18T08:55:31.820320+00:00,,,
syscolabs,sample-repo,sample-repo,unknown,Cloud Services,False,2018-12-24T07:01:12.888440+00:00,2018-12-24T07:01:12.814429+00:00,,,
syscolabs,terraform-ecs-envs,terraform-ecs-envs,unknown,Cloud Services,False,2020-05-05T05:13:04.220704+00:00,2018-12-24T07:19:47.191321+00:00,,,
syscolabs,tft_core,tft_core,unknown,Cloud Services,False,2019-03-27T11:14:02.110655+00:00,2019-01-01T08:19:10.525159+00:00,,,
syscolabs,cake_payments_performance,cake_payments_performance,unknown,QA,False,2023-12-05T09:43:18.773783+00:00,2019-01-01T08:44:26.697949+00:00,,,
syscolabs,data-platform-integration-api,data-platform-integration-api,unknown,Environment Configs,False,2025-05-02T05:21:57.584396+00:00,2019-01-08T05:29:27.989746+00:00,,,
syscolabs,data-platform-query-api,data-platform-query-api,unknown,Environment Configs,False,2024-07-24T10:27:04.987899+00:00,2019-01-08T05:32:20.247566+00:00,,,
syscolabs,tool-push-jobs-to-sqs,tool-push-jobs-to-sqs,unknown,Catalysts,False,2019-02-21T12:04:24.621573+00:00,2019-01-11T06:53:16.390185+00:00,,,
syscolabs,src-menu-data-mediator,src-menu-data-mediator,javascript,Menu Core,True,2026-02-11T00:12:09.845207+00:00,2019-01-24T12:23:35.804676+00:00,,,
syscolabs,pos_data_migrator,pos_data_migrator,java,Platform Utils,False,2025-12-19T16:05:38.065661+00:00,2019-01-28T05:06:30.381158+00:00,,,
syscolabs,jenkins_ci_test_geethanga,jenkins_ci_test_geethanga,unknown,Intern Projects,False,2019-01-29T10:36:22.226281+00:00,2019-01-29T10:36:03.498733+00:00,,,
syscolabs,hybris_functional,hybris_functional,unknown,QA,False,2019-02-22T12:16:20.790773+00:00,2019-02-05T05:51:41.296617+00:00,,,
syscolabs,isupply_functional,iSupply_functional,unknown,QA,False,2019-02-08T07:56:32.109381+00:00,2019-02-05T05:53:27.613149+00:00,,,
syscolabs,code_templates,code_templates,unknown,Platform Utils,False,2019-11-15T06:43:40.587012+00:00,2019-02-07T05:37:29.984602+00:00,,,
syscolabs,data_validator,data_validator,unknown,QA,False,2025-11-14T23:28:44.174617+00:00,2019-02-07T13:34:13.636109+00:00,,,
syscolabs,dp_cross_validator,DP_Cross_Validator,unknown,Payment Gateway,False,2019-02-26T08:04:22.788872+00:00,2019-02-08T12:58:57.456404+00:00,,,
syscolabs,perf-ua-reports,perf-ua-reports,unknown,QA - LAPITAF,False,2019-03-19T09:45:39.971464+00:00,2019-02-12T07:04:40.492245+00:00,,,
syscolabs,common_utils_and_scripts,common_utils_and_scripts,unknown,Platform Utils,False,2019-07-09T12:11:50.416736+00:00,2019-02-15T09:25:10.163120+00:00,,,
syscolabs,ua_reports_couch-doc-init,ua_reports_couch-doc-init,unknown,Platform Utils,True,2026-02-14T13:35:45.755883+00:00,2019-02-20T05:57:40.461047+00:00,,,
syscolabs,doc-gen-api,doc-gen-api,unknown,Environment Configs,False,2024-12-03T06:54:08.007205+00:00,2019-02-25T05:22:36.897059+00:00,,,
syscolabs,load_testing_mock_server,load_testing_mock_server,unknown,Platform Utils,False,2025-09-18T06:54:51.279039+00:00,2019-03-13T10:41:51.782636+00:00,,,
syscolabs,brakesautomation,BrakesAutomation,unknown,QA,False,2025-05-29T21:30:33.975905+00:00,2019-03-14T05:46:33.948792+00:00,,,
syscolabs,universal-admin-settings,universal-admin-settings,javascript,Universal Admin,True,2026-03-05T21:36:12.132853+00:00,2019-03-14T08:06:28.554395+00:00,,,
syscolabs,datavalidator,datavalidator,unknown,QA,False,2025-12-19T21:06:05.201968+00:00,2019-03-18T03:58:45.689017+00:00,,,
