profile,account_id,month,service,cost
mm-madmobile-mgmt,302042158767,2026-01-03,AWS WAF,654.33
mm-madmobile-mgmt,302042158767,2026-01-03,AWS X-Ray,4.66
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon API Gateway,5.51
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Athena,32.41
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon CloudFront,0.03
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon DocumentDB (with MongoDB compatibility),351.74
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon DynamoDB,60.83
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon EC2 Container Registry (ECR),569.91
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon ElastiCache,7789.24
mm-madmobile-mgmt,302042158767,2026-01-03,EC2 - Other,40106.1
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Elastic Compute Cloud - Compute,50055.3
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Elastic Container Service,465.66
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Elastic Container Service for Kubernetes,2393.54
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Elastic File System,0.23
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Elastic Load Balancing,9735.39
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon GuardDuty,2043.76
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Kinesis,56.69
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Lightsail,101.16
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Location Service,243.49
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon MQ,6146.78
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Managed Streaming for Apache Kafka,1412.03
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Neptune,0.06
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon OpenSearch Service,7068.46
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon QuickSight,30.79
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Redshift,3.03
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Relational Database Service,29855.53
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Route 53,142.26
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Simple Email Service,1.54
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Simple Notification Service,2.55
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Simple Queue Service,134.07
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Simple Storage Service,7361.55
mm-madmobile-mgmt,302042158767,2026-01-03,Amazon Virtual Private Cloud,5785.18
mm-madmobile-mgmt,302042158767,2026-01-03,AmazonCloudWatch,7557.12
mm-madmobile-mgmt,302042158767,2026-01-03,CloudWatch Events,0.04
mm-madmobile-mgmt,302042158767,2026-01-03,Savings Plans for AWS Compute usage,32679.91
mm-madmobile-mgmt,302042158767,2026-01-03,Snowflake Capacity,18750.0
mm-madmobile-mgmt,302042158767,2026-01-03,Snyk: Developer Security Platform,3208.31
mm-madmobile-mgmt,302042158767,2026-01-03,TrendAI™ Cloud One,1454.36
mm-madmobile-mgmt,302042158767,2026-01-03,Vanta,3333.33
mm-madmobile-mgmt,302042158767,2026-01-03,[AWS MP Private Offer] - MongoDB Atlas on AWS - Contract with Usage (V6),4218.0
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Backup,0.18
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Certificate Manager,1449.36
mm-madmobile-mgmt,302042158767,2026-02-01,AWS CloudTrail,143.39
mm-madmobile-mgmt,302042158767,2026-02-01,AWS CodeArtifact,12.71
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Config,744.02
mm-madmobile-mgmt,302042158767,2026-02-01,AWS Cost Explorer,26.45
